Code,Key,Value
AI-MODELS_LLAMA31_8B,weight,1.0
AI-MODELS_LLAMA32_3B,weight,0.4
AI-MODELS_PHI35_38B,weight,0.5
AI-MODELS_MISTRAL_7B,weight,0.9
AI-MODELS_QWEN25_7B,weight,0.9
AI-MODELS_GEMMA2_9B,weight,1.2
AI-MODELS_GEMMA3_4B,weight,0.3
AI-MODELS_PHI4_MINI,weight,0.4
AI-MODELS_QWEN3_4B,weight,0.3
AI-MODELS_MISTRAL_SMALL31,weight,1.0
AI-MODELS_DEEPSEEK_R1_8B,weight,0.9
AI-MODELS_LLAMA31_8B,ollamaModelName,llama3.1:8b
AI-MODELS_LLAMA32_3B,ollamaModelName,llama3.2:3b
AI-MODELS_PHI35_38B,ollamaModelName,phi3.5:3.8b
AI-MODELS_MISTRAL_7B,ollamaModelName,mistral:7b
AI-MODELS_QWEN25_7B,ollamaModelName,qwen2.5:7b
AI-MODELS_GEMMA2_9B,ollamaModelName,gemma2:9b
AI-MODELS_GEMMA3_4B,ollamaModelName,gemma3:4b
AI-MODELS_PHI4_MINI,ollamaModelName,phi4-mini:3.8b
AI-MODELS_QWEN3_4B,ollamaModelName,qwen3:4b
AI-MODELS_MISTRAL_SMALL31,ollamaModelName,mistral-small3.1:24b
AI-MODELS_DEEPSEEK_R1_8B,ollamaModelName,deepseek-r1:8b
AI-MODELS_LLAMA31_8B,openrouterModelName,meta-llama/llama-3.1-8b-instruct
AI-MODELS_LLAMA32_3B,openrouterModelName,meta-llama/llama-3.2-3b-instruct
AI-MODELS_PHI35_38B,openrouterModelName,microsoft/phi-3.5-mini-instruct
AI-MODELS_MISTRAL_7B,openrouterModelName,mistralai/mistral-7b-instruct
AI-MODELS_QWEN25_7B,openrouterModelName,qwen/qwen-2.5-7b-instruct
AI-MODELS_GEMMA2_9B,openrouterModelName,google/gemma-2-9b-it
AI-MODELS_GEMMA3_4B,openrouterModelName,google/gemma-3-4b-it
AI-MODELS_PHI4_MINI,openrouterModelName,microsoft/phi-4-mini-instruct
AI-MODELS_QWEN3_4B,openrouterModelName,qwen/qwen3-4b-instruct
AI-MODELS_MISTRAL_SMALL31,openrouterModelName,mistralai/mistral-small-3.1-24b-instruct
AI-MODELS_DEEPSEEK_R1_8B,openrouterModelName,deepseek/deepseek-r1-8b
COMMUNITYS_LAPAZ,City,CITIES_ACCRA
COMMUNITYS_ACHIMOTA,City,CITIES_ACCRA
COMMUNITYS_EAST_LEGON,City,CITIES_ACCRA
COMMUNITYS_ADENTA,City,CITIES_ACCRA
COMMUNITYS_HAATSO,City,CITIES_ACCRA
CITIES_ACCRA,Country,COUNTRYS_GHANA
CNCODES_USA,COUNTRY,United States
CNCODES_GBR,COUNTRY,United Kingdom
CNCODES_GHA,COUNTRY,Ghana
CNCODES_ZAF,COUNTRY,South Africa
CNCODES_NGA,COUNTRY,Nigeria
CNCODES_KEN,COUNTRY,Kenya
CNCODES_IND,COUNTRY,India
GRSTREAMS_0A,gradeLevel,GRADE_R
GRSTREAMS_0A,streamVersion,0A
GRSTREAMS_0B,gradeLevel,GRADE_R
GRSTREAMS_0B,streamVersion,0B
GRSTREAMS_0C,gradeLevel,GRADE_R
GRSTREAMS_0C,streamVersion,0C
GRSTREAMS_1A,gradeLevel,GRADE_1
GRSTREAMS_1A,streamVersion,1A
GRSTREAMS_1B,gradeLevel,GRADE_1
GRSTREAMS_1B,streamVersion,1B
GRSTREAMS_1C,gradeLevel,GRADE_1
GRSTREAMS_1C,streamVersion,1C
GRSTREAMS_2A,gradeLevel,GRADE_2
GRSTREAMS_2A,streamVersion,2A
GRSTREAMS_2B,gradeLevel,GRADE_2
GRSTREAMS_2B,streamVersion,2B
GRSTREAMS_2C,gradeLevel,GRADE_2
