Code,Name,Description,ParentCode,DisplayOrder
GENDER,Gender,Biological or self-identified gender,,0
GENDER_MALE,Male,,GENDER,1
GENDER_FEMALE,Female,,GENDER,2
GENDER_OTHER,Other,,GENDER,3
STATUS,Status,Record lifecycle status,,0
STATUS_ACTIVE,Active,,STATUS,1
STATUS_INACTIVE,Inactive,,STATUS,2
AI-MODELS,AI Models,Available AI models for the chat assistant,,0
AI-MODELS_LLAMA31_8B,Llama 3.1 8B,llama3.1:8b,AI-MODELS,1
AI-MODELS_LLAMA32_3B,Llama 3.2 3B,llama3.2:3b,AI-MODELS,2
AI-MODELS_PHI35_38B,Phi 3.5 3.8B,phi3.5:3.8b,AI-MODELS,3
AI-MODELS_MISTRAL_7B,Mistral 7B,mistral:7b,AI-MODELS,4
AI-MODELS_QWEN25_7B,Qwen 2.5 7B,qwen2.5:7b,AI-MODELS,5
AI-MODELS_GEMMA2_9B,Gemma 2 9B,gemma2:9b,AI-MODELS,6
AI-MODELS_GEMMA3_4B,Gemma 3 4B,gemma3:4b,AI-MODELS,7
AI-MODELS_PHI4_MINI,Phi-4 Mini,phi4-mini:3.8b,AI-MODELS,8
AI-MODELS_QWEN3_4B,Qwen 3 4B,qwen3:4b,AI-MODELS,9
AI-MODELS_MISTRAL_SMALL31,Mistral Small 3.1 24B,mistral-small3.1:24b,AI-MODELS,10
AI-MODELS_DEEPSEEK_R1_8B,DeepSeek R1 8B,deepseek-r1:8b,AI-MODELS,11
SUBJECT,Subject,Academic subjects,,0
SUBJECT_MATHEMATICS,Mathematics,,SUBJECT,1
SUBJECT_PHYSICAL_SCIENCES,Physical Sciences,,SUBJECT,2
SUBJECT_LIFE_SCIENCES,Life Sciences,,SUBJECT,3
SUBJECT_ENGLISH_HOME,English Home Language,,SUBJECT,4
SUBJECT_ENGLISH_FAL,English First Additional Language,,SUBJECT,5
SUBJECT_AFRIKAANS_HOME,Afrikaans Home Language,,SUBJECT,6
SUBJECT_AFRIKAANS_FAL,Afrikaans First Additional Language,,SUBJECT,7
SUBJECT_GEOGRAPHY,Geography,,SUBJECT,8
SUBJECT_HISTORY,History,,SUBJECT,9
SUBJECT_BUSINESS_STUDIES,Business Studies,,SUBJECT,10
SUBJECT_ACCOUNTING,Accounting,,SUBJECT,11
SUBJECT_ECONOMICS,Economics,,SUBJECT,12
SUBJECT_INFORMATION_TECHNOLOGY,Information Technology,,SUBJECT,13
SUBJECT_COMPUTER_APPLICATIONS,Computer Applications Technology,,SUBJECT,14
SUBJECT_DRAMA,Drama,,SUBJECT,15
SUBJECT_VISUAL_ARTS,Visual Arts,,SUBJECT,16
SUBJECT_MUSIC,Music,,SUBJECT,17
SUBJECT_LO,Life Orientation,,SUBJECT,18
GRADE,Grade,School grade level,,0
GRADE_R,Grade R,Reception year,GRADE,0
GRADE_1,Grade 1,,GRADE,1
GRADE_2,Grade 2,,GRADE,2
GRADE_3,Grade 3,,GRADE,3
GRADE_4,Grade 4,,GRADE,4
GRADE_5,Grade 5,,GRADE,5
GRADE_6,Grade 6,,GRADE,6
GRADE_7,Grade 7,,GRADE,7
GRADE_8,Grade 8,,GRADE,8
GRADE_9,Grade 9,,GRADE,9
GRADE_10,Grade 10,,GRADE,10
GRADE_11,Grade 11,,GRADE,11
GRADE_12,Grade 12,,GRADE,12
GRSTREAMS,Grade Streams,Class/section divisions of a grade,,0
GRSTREAMS_0A,Grade R — A,,GRSTREAMS,1
GRSTREAMS_0B,Grade R — B,,GRSTREAMS,2
GRSTREAMS_0C,Grade R — C,,GRSTREAMS,3
GRSTREAMS_1A,Grade 1 — A,,GRSTREAMS,4
GRSTREAMS_1B,Grade 1 — B,,GRSTREAMS,5
GRSTREAMS_1C,Grade 1 — C,,GRSTREAMS,6
GRSTREAMS_2A,Grade 2 — A,,GRSTREAMS,7
GRSTREAMS_2B,Grade 2 — B,,GRSTREAMS,8
GRSTREAMS_2C,Grade 2 — C,,GRSTREAMS,9
GRSTREAMS_3A,Grade 3 — A,,GRSTREAMS,10
GRSTREAMS_3B,Grade 3 — B,,GRSTREAMS,11
GRSTREAMS_3C,Grade 3 — C,,GRSTREAMS,12
GRSTREAMS_4A,Grade 4 — A,,GRSTREAMS,13
GRSTREAMS_4B,Grade 4 — B,,GRSTREAMS,14
GRSTREAMS_4C,Grade 4 — C,,GRSTREAMS,15
GRSTREAMS_5A,Grade 5 — A,,GRSTREAMS,16
GRSTREAMS_5B,Grade 5 — B,,GRSTREAMS,17
GRSTREAMS_5C,Grade 5 — C,,GRSTREAMS,18
GRSTREAMS_6A,Grade 6 — A,,GRSTREAMS,19
GRSTREAMS_6B,Grade 6 — B,,GRSTREAMS,20
GRSTREAMS_6C,Grade 6 — C,,GRSTREAMS,21
GRSTREAMS_7A,Grade 7 — A,,GRSTREAMS,22
GRSTREAMS_7B,Grade 7 — B,,GRSTREAMS,23
GRSTREAMS_7C,Grade 7 — C,,GRSTREAMS,24
GRSTREAMS_8A,Grade 8 — A,,GRSTREAMS,25
GRSTREAMS_8B,Grade 8 — B,,GRSTREAMS,26
GRSTREAMS_8C,Grade 8 — C,,GRSTREAMS,27
GRSTREAMS_9A,Grade 9 — A,,GRSTREAMS,28
GRSTREAMS_9B,Grade 9 — B,,GRSTREAMS,29
GRSTREAMS_9C,Grade 9 — C,,GRSTREAMS,30
GRSTREAMS_10A,Grade 10 — A,,GRSTREAMS,31
GRSTREAMS_10B,Grade 10 — B,,GRSTREAMS,32
GRSTREAMS_10C,Grade 10 — C,,GRSTREAMS,33
GRSTREAMS_11A,Grade 11 — A,,GRSTREAMS,34
GRSTREAMS_11B,Grade 11 — B,,GRSTREAMS,35
GRSTREAMS_11C,Grade 11 — C,,GRSTREAMS,36
GRSTREAMS_12A,Grade 12 — A,,GRSTREAMS,37
GRSTREAMS_12B,Grade 12 — B,,GRSTREAMS,38
GRSTREAMS_12C,Grade 12 — C,,GRSTREAMS,39
RELATSHIPS,Relationship,Family relationship to the student,,0
RELATSHIPS_FATHER,Father,,RELATSHIPS,1
RELATSHIPS_MOTHER,Mother,,RELATSHIPS,2
RELATSHIPS_GUARDIAN,Guardian,,RELATSHIPS,3
RELATSHIPS_OTHER,Other,,RELATSHIPS,4
SALUTS,Salutation,Title/honorific,,0
SALUTS_MR,Mr,,SALUTS,1
SALUTS_MRS,Mrs,,SALUTS,2
SALUTS_MS,Ms,,SALUTS,3
SALUTS_DR,Dr,,SALUTS,4
SALUTS_PROF,Prof,,SALUTS,5
SALUTS_MX,Mx,,SALUTS,6
COMMUNITYS,Community,Neighbourhood/community,,0
COMMUNITYS_LAPAZ,Labone/Lapaz,,COMMUNITYS,1
COMMUNITYS_ACHIMOTA,Achimota,,COMMUNITYS,2
COMMUNITYS_EAST_LEGON,East Legon,,COMMUNITYS,3
COMMUNITYS_ADENTA,Adenta,,COMMUNITYS,4
COMMUNITYS_HAATSO,Haatso,,COMMUNITYS,5
CITIES,City,City,,0
CITIES_ACCRA,Accra,,CITIES,1
COUNTRYS,Country,Country,,0
COUNTRYS_GHANA,Ghana,,COUNTRYS,1
CNCODES,Country Calling Codes,International dialling prefixes,,0
CNCODES_USA,+1,United States,CNCODES,1
CNCODES_GBR,+44,United Kingdom,CNCODES,2
CNCODES_GHA,+233,Ghana,CNCODES,3
CNCODES_ZAF,+27,South Africa,CNCODES,4
CNCODES_NGA,+234,Nigeria,CNCODES,5
CNCODES_KEN,+254,Kenya,CNCODES,6
CNCODES_IND,+91,India,CNCODES,7
